Country;Obesity;Undernourished;Population;Deaths
Sri Lanka;5.4;9;21937000;0.001600036468
Sudan;7.4;20.1;43849000;0.004175693858
Suriname;26.5;8.5;605000;0.02644628099
Sweden;22.1;2.5;10377000;0.1167485786
Switzerland;21.2;2.5;8634000;0.1112578179
Thailand;10.8;7.8;66534000;0.0001187362852
Timor-Leste;2.9;24.9;1318000;0
Togo;7.1;16.1;8279000;0.0009542215243
Trinidad and Tobago;19.7;5.5;1369000;0.009861212564
Tunisia;27.3;4.3;11896000;0.06020511096
Turkey;32.2;2.5;83737000;0.03186763318
Uganda;4.1;41;45741000;0.0007148947334
Ukraine;26.1;3.5;41778000;0.0592058021
United Arab Emirates;29.9;2.6;9778000;0.009347514829
United Kingdom;29.5;2.5;67160000;0.1672200715
United Republic of Tanzania;7.1;30.7;59734000;3.52E-05
United States of America;37.3;2.5;329878000;0.1401030078
Uruguay;28.9;2.5;3531000;0.01362220334
Uzbekistan;15.3;6.3;34174000;0.001817170949
Vanuatu;23.5;7.2;321000;0
Venezuela (Bolivarian Republic of);25.2;21.2;28645000;0.004286961075
Vietnam;2.1;9.3;96209000;3.64E-05
Yemen;14.1;38.9;29826000;0.002061959364
Zambia;6.5;46.7;18384000;0.004563751088
Zimbabwe;12.3;51.3;14863000;0.008854201709
